Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       23     0.00     0.00  int __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)
  0.00      0.00     0.00       23     0.00     0.00  std::__cxx11::stoi(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int)
  0.00      0.00     0.00       23     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Range_chk::_S_chk(long, std::integral_constant<bool, true>)
  0.00      0.00     0.00       23     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::_Save_errno()
  0.00      0.00     0.00       23     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::~_Save_errno()
  0.00      0.00     0.00       14     0.00     0.00  validations::check_digit(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::__aligned_membuf<product>::_M_ptr()
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::__aligned_membuf<product>::_M_addr()
  0.00      0.00     0.00       14     0.00     0.00  std::_List_node<product>::_M_valptr()
  0.00      0.00     0.00       12     0.00     0.00  std::_List_iterator<product>::operator->() const
  0.00      0.00     0.00       11     0.00     0.00  std::_List_iterator<product>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00        8     0.00     0.00  std::_List_iterator<supplier>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00        7     0.00     0.00  __gnu_cxx::__aligned_membuf<customer>::_M_ptr()
  0.00      0.00     0.00        7     0.00     0.00  __gnu_cxx::__aligned_membuf<customer>::_M_addr()
  0.00      0.00     0.00        7     0.00     0.00  std::_List_node<customer>::_M_valptr()
  0.00      0.00     0.00        7     0.00     0.00  std::_List_iterator<customer>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00        7     0.00     0.00  std::__cxx11::list<product, std::allocator<product> >::end()
  0.00      0.00     0.00        7     0.00     0.00  int (customer::*&&std::forward<int (customer::*)()>(std::remove_reference<int (customer::*)()>::type&))()
  0.00      0.00     0.00        7     0.00     0.00  customer*& std::forward<customer*&>(std::remove_reference<customer*&>::type&)
  0.00      0.00     0.00        7     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      0.00     0.00        6     0.00     0.00  customer::customer()
  0.00      0.00     0.00        6     0.00     0.00  customer::~customer()
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__aligned_membuf<supplier>::_M_ptr()
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__aligned_membuf<supplier>::_M_addr()
  0.00      0.00     0.00        6     0.00     0.00  std::_List_node<supplier>::_M_valptr()
  0.00      0.00     0.00        6     0.00     0.00  std::_List_iterator<transaction>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00        6     0.00     0.00  std::operator!=(std::_List_iterator<product> const&, std::_List_iterator<product> const&)
  0.00      0.00     0.00        5     0.00     0.00  std::__cxx11::list<supplier, std::allocator<supplier> >::end()
  0.00      0.00     0.00        4     0.00     0.00  validations::take_choice()
  0.00      0.00     0.00        4     0.00     0.00  supplier::supplier()
  0.00      0.00     0.00        4     0.00     0.00  supplier::~supplier()
  0.00      0.00     0.00        4     0.00     0.00  std::_List_iterator<customer>::operator->() const
  0.00      0.00     0.00        4     0.00     0.00  std::_List_iterator<supplier>::operator->() const
  0.00      0.00     0.00        4     0.00     0.00  std::__cxx11::list<product, std::allocator<product> >::empty() const
  0.00      0.00     0.00        4     0.00     0.00  std::__cxx11::list<supplier, std::allocator<supplier> >::empty() const
  0.00      0.00     0.00        4     0.00     0.00  std::__cxx11::list<transaction, std::allocator<transaction> >::end()
  0.00      0.00     0.00        4     0.00     0.00  std::__cxx11::list<product, std::allocator<product> >::begin()
  0.00      0.00     0.00        4     0.00     0.00  std::__cxx11::list<customer, std::allocator<customer> >::end()
  0.00      0.00     0.00        4     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      0.00     0.00        4     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      0.00     0.00        4     0.00     0.00  transaction const& std::forward<transaction const&>(std::remove_reference<transaction const&>::type&)
  0.00      0.00     0.00        4     0.00     0.00  product const& std::forward<product const&>(std::remove_reference<product const&>::type&)
  0.00      0.00     0.00        4     0.00     0.00  customer const& std::forward<customer const&>(std::remove_reference<customer const&>::type&)
  0.00      0.00     0.00        4     0.00     0.00  supplier const& std::forward<supplier const&>(std::remove_reference<supplier const&>::type&)
  0.00      0.00     0.00        4     0.00     0.00  std::operator!=(std::_List_iterator<customer> const&, std::_List_iterator<customer> const&)
  0.00      0.00     0.00        4     0.00     0.00  std::operator!=(std::_List_iterator<supplier> const&, std::_List_iterator<supplier> const&)
  0.00      0.00     0.00        4     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00        3     0.00     0.00  product::~product()
  0.00      0.00     0.00        3     0.00     0.00  std::__cxx11::list<transaction, std::allocator<transaction> >::empty() const
  0.00      0.00     0.00        3     0.00     0.00  std::__cxx11::list<customer, std::allocator<customer> >::empty() const
  0.00      0.00     0.00        3     0.00     0.00  std::__cxx11::list<customer, std::allocator<customer> >::begin()
  0.00      0.00     0.00        3     0.00     0.00  std::__cxx11::list<supplier, std::allocator<supplier> >::begin()
  0.00      0.00     0.00        3     0.00     0.00  std::operator!=(std::_List_iterator<transaction> const&, std::_List_iterator<transaction> const&)
  0.00      0.00     0.00        2     0.00     0.00  admin_corner()
  0.00      0.00     0.00        2     0.00     0.00  __gthread_active_p()
  0.00      0.00     0.00        2     0.00     0.00  transaction::~transaction()
  0.00      0.00     0.00        2     0.00     0.00  validations::check_name(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        2     0.00     0.00  validations::check_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        2     0.00     0.00  validations::check_address(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        2     0.00     0.00  product::get_product_id()
  0.00      0.00     0.00        2     0.00     0.00  product::get_units_sold()
  0.00      0.00     0.00        2     0.00     0.00  product::get_no_of_units()
  0.00      0.00     0.00        2     0.00     0.00  product::get_product_name[abi:cxx11]()
  0.00      0.00     0.00        2     0.00     0.00  product::get_cost()
  0.00      0.00     0.00        2     0.00     0.00  product::product()
  0.00      0.00     0.00        2     0.00     0.00  customer::get_customer_id()
  0.00      0.00     0.00        2     0.00     0.00  customer::get_customer_name[abi:cxx11]()
  0.00      0.00     0.00        2     0.00     0.00  customer::customer(customer const&)
  0.00      0.00     0.00        2     0.00     0.00  supplier::get_supplier_name[abi:cxx11]()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__aligned_membuf<transaction>::_M_ptr()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__aligned_membuf<transaction>::_M_addr()
  0.00      0.00     0.00        2     0.00     0.00  long __gnu_cxx::__stoa<long, long, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)
  0.00      0.00     0.00        2     0.00     0.00  std::_Head_base<0ul, std::thread::_State*, false>::_M_head(std::_Head_base<0ul, std::thread::_State*, false>&)
  0.00      0.00     0.00        2     0.00     0.00  std::_List_node<transaction>::_M_valptr()
  0.00      0.00     0.00        2     0.00     0.00  std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.00     0.00        2     0.00     0.00  std::_List_iterator<product>::operator++(int)
  0.00      0.00     0.00        2     0.00     0.00  std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()
  0.00      0.00     0.00        2     0.00     0.00  std::thread::id::id()
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::_List_base<transaction, std::allocator<transaction> >::_M_get_Node_allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::_List_base<product, std::allocator<product> >::_M_get_Node_allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::_List_base<customer, std::allocator<customer> >::_M_get_Node_allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::_List_base<supplier, std::allocator<supplier> >::_M_get_Node_allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::list<transaction, std::allocator<transaction> >::begin()
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::stol(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int)
  0.00      0.00     0.00        2     0.00     0.00  std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.00     0.00        2     0.00     0.00  std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.00     0.00        2     0.00     0.00  std::remove_reference<std::tuple<int (customer::*)(), customer*>&>::type&& std::move<std::tuple<int (customer::*)(), customer*>&>(std::tuple<int (customer::*)(), customer*>&)
  0.00      0.00     0.00        2     0.00     0.00  customer*&& std::forward<customer*>(std::remove_reference<customer*>::type&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__stoa<long, long, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Range_chk::_S_chk(long, std::integral_constant<bool, false>)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__stoa<long, long, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::_Save_errno()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__stoa<long, long, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::~_Save_errno()
  0.00      0.00     0.00        1     0.00     0.00  _GLOBAL__sub_I_ad
  0.00      0.00     0.00        1     0.00     0.00  customer_corner()
  0.00      0.00     0.00        1     0.00     0.00  supplier_corner()
  0.00      0.00     0.00        1     0.00     0.00  product_file_to_list()
  0.00      0.00     0.00        1     0.00     0.00  product_list_to_file()
  0.00      0.00     0.00        1     0.00     0.00  customer_file_to_list()
  0.00      0.00     0.00        1     0.00     0.00  customer_list_to_file()
  0.00      0.00     0.00        1     0.00     0.00  supplier_file_to_list()
  0.00      0.00     0.00        1     0.00     0.00  supplier_list_to_file()
  0.00      0.00     0.00        1     0.00     0.00  transaction_file_to_list()
  0.00      0.00     0.00        1     0.00     0.00  transaction_list_to_file()
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      0.00     0.00        1     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.00      0.00     0.00        1     0.00     0.00  transaction::generate_bill(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, int, int)
  0.00      0.00     0.00        1     0.00     0.00  transaction::transaction(transaction const&)
  0.00      0.00     0.00        1     0.00     0.00  transaction::transaction()
  0.00      0.00     0.00        1     0.00     0.00  validations::password_check()
  0.00      0.00     0.00        1     0.00     0.00  validations::take_customer_id()
  0.00      0.00     0.00        1     0.00     0.00  validations::take_supplier_id()
  0.00      0.00     0.00        1     0.00     0.00  Admin::top_three_product()
  0.00      0.00     0.00        1     0.00     0.00  Admin::Admin()
  0.00      0.00     0.00        1     0.00     0.00  product::set_units_sold(int)
  0.00      0.00     0.00        1     0.00     0.00  product::set_no_of_units(int)
  0.00      0.00     0.00        1     0.00     0.00  product::product(product const&)
  0.00      0.00     0.00        1     0.00     0.00  customer::place_order()
  0.00      0.00     0.00        1     0.00     0.00  customer::login_customer()
  0.00      0.00     0.00        1     0.00     0.00  customer::register_customer()
  0.00      0.00     0.00        1     0.00     0.00  supplier::add_product()
  0.00      0.00     0.00        1     0.00     0.00  supplier::login_supplier()
  0.00      0.00     0.00        1     0.00     0.00  supplier::get_supplier_id()
  0.00      0.00     0.00        1     0.00     0.00  supplier::register_supplier()
  0.00      0.00     0.00        1     0.00     0.00  supplier::supplier(supplier const&)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<transaction> >::deallocate(std::_List_node<transaction>*, unsigned long)
  0.00      0.00     0.00        1     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<transaction> >::destroy<transaction>(transaction*)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<transaction> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00        1     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<transaction> >::construct<transaction, transaction const&>(transaction*, transaction const&)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<transaction> >::new_allocator()
